ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
Giant Day,Alarm,1231,,,Post-punk art duo from Pennsylvania – recommended! ,https://giantday.bandcamp.com/album/alarm,11/13/2025,10/10/2025,Elephant Six Recording Co.
Olivia Barton,For Myself and For You,1232,,femcon,Soft folk/americana from an LA-based singer-songwriter ,https://oliviabarton.bandcamp.com/album/for-myself-and-for-you,11/13/2025,10/10/2025,
Bruiser and Bicycle,Deep Country,1229,,,"A unique, dynamic fusion of art pop & prog folk with a good sense of humour ",https://bruiserandbicycle.bandcamp.com/album/deep-country,11/13/2025,10/8/2025,
Rocket,R is for Rocket,1234,,femcon,alt/garage rock from LA ,https://rockettheband.bandcamp.com/album/r-is-for-rocket,11/13/2025,10/3/2025,Canvasback
The Point,Maldito Animal,1211,,,"A groovy, psychedelic adventure into ethio-jazz. Glad I found this one! ",https://thepointmusic.bandcamp.com/album/maldito-animal-deluxe-album-2,11/13/2025,9/26/2025,
Grumpy,Piebald,1218,,femcon,Folk rock/indie pop from New York! ,https://grumpyismyleastfavoriteband.bandcamp.com/album/piebald,11/13/2025,9/26/2025,Bayonet Records
Thomas Dollbaum,Drive All Night,1236,,,Folk singer-songwriter from New Orleans ,https://thomasdollbaum.bandcamp.com/album/drive-all-night,11/13/2025,9/26/2025,Dear Life Records
Otis Wilkins,Power Of Stuff,1215,,,"Indie rock with lots of folk elements from Austin, Texas. Solid release",https://otiswilkins.bandcamp.com/album/power-of-stuff,11/13/2025,9/19/2025,
Snuggle,Goodbyehouse,1204,,femcon,"Dreamy, chilled-out bedroom pop vibes from Copenhagen, Denmark. Recommended! ",https://snuggle.bandcamp.com/album/goodbyehouse,11/13/2025,9/12/2025,Escho
Sleeping Jesus,Shotgun,1235,,,Alt-country/americana/rock n roll from Minneapolis ,https://sleepingjesus.bandcamp.com/album/shotgun,11/13/2025,9/8/2025,
Alien Eyelid,Vinegar Hill,1233,,,"Ambient americana/cosmic country from Houston, Texas – excellent release!",https://alieneyelid.bandcamp.com/album/vinegar-hill,11/13/2025,9/5/2025,PLYGRND
Middle Mass,Songs for the Sapphire Hare,1202,,femcon,"Ambient, dreamy pop from Austin, Texas ",https://middlemass.bandcamp.com/album/songs-for-the-sapphire-hare,11/13/2025,7/18/2025,
Big Bill,Sick Myth,1186,,,"Art rock/post punk from Austin, Texas – recommended! ",https://bigbillband.bandcamp.com/album/sick-myth,11/12/2025,11/21/2025,
badsoma,badsoma,1185,,,Fuzzy psych pop from LA! ,https://badsoma.bandcamp.com/album/badsoma?search_item_id%3D3429866438%26search_item_type%3Da%26search_match_part%3D%253F%26search_page_id%3D4830512222%26search_page_no%3D0%26search_rank%3D1=,11/12/2025,11/14/2025,
Jim Jarmusch & Anika,Father Mother Sister Brother,1187,,,"Excellent, contemplative film soundtrack vibes – I must admit I did not know Jarmusch was a musician! ",https://jimjarmusch.bandcamp.com/album/father-mother-sister-brother-original-music-from-the-film,11/12/2025,11/14/2025,
Odonis Odonis,Odonis Odonis,1188,,cancon,"Has that sweet blend of post-punk, shoegaze, & synthpop I'm a big fan of. HIghly recommended! ",https://odonisodonis.bandcamp.com/album/odonis-odonis,11/12/2025,11/14/2025,Royal Mountain Records
Star Card,Trash World,1189,,femcon,Lofi noisy pop from New York – a great one! ,https://starcard.bandcamp.com/album/trash-world-2,11/12/2025,11/14/2025,
Team Trust,Treat Box,1190,,femcon,"Awesome & unique post-punk vibe from Austin, Texas. Recommended! ",https://teamtrust.bandcamp.com/album/treat-box,11/12/2025,11/7/2025,
Constant Smiles,Moonflowers,1191,,,"Ambient, lo-fi pop/folk from New York ",https://constantsmiles.bandcamp.com/album/moonflowers,11/12/2025,11/7/2025,Felte
Hatchie,Liquorice,1192,,femcon,"Fresh, nostalgic, & energetic dream pop from Melbourne – highly recommended",https://hatchie.bandcamp.com/album/liquorice,11/12/2025,11/7/2025,Secretly Canadian
h. pruz,Red sky at morning,1193,,femcon,Super polished & dyamic ambient/bedroom folk vibes from Brooklyn – highly recommended,https://hpruz.bandcamp.com/album/red-sky-at-morning,11/12/2025,11/7/2025,
Iris Caltwait,"Again, for the first time",1194,,femcon,Alt pop from Norway – recommended,https://iriscaltwait.bandcamp.com/album/again-for-the-first-time,11/12/2025,11/7/2025,777 MUSIC
Sorry,COSPLAY,1195,,femcon,"Grunge-y & catchy alt rock/post-punk from London, UK – recommended",https://sorrybanduk.bandcamp.com/album/cosplay,11/12/2025,11/7/2025,Domino
Drummachinemike,I Hope This Never Finds You,1139,,cancon,"Another excellent release from Drummachinemike spanning ambient techno, IDM, and downtempo – recommended! ",https://drummachinemike.bandcamp.com/album/i-hope-this-never-finds-you,11/6/2025,11/6/2025,
Queen M,Introducing Queen M,1153,,"cancon,femcon","""Neo Soul mixed with vintage Motown and Reggae influences"" from Collingwood, ON! ",https://queenm.bandcamp.com/album/introducing-queen-m,11/6/2025,10/24/2025,Universal Music
Rinnovare,A Lucid Factory for Her Encounters,1155,,cancon,"Dreamy, ambient-leaning pop/folk from Kelowna, BC. Recommended! ",https://rinnovare.bandcamp.com/album/a-lucid-factory-for-her-encounters-2,11/6/2025,10/24/2025,
Robert Robert,BOOST,1156,,"cancon,francophone",Catchy Montreal electropop – highly recommended! ,https://robertrobert.bandcamp.com/album/boost,11/6/2025,10/24/2025,Chivi Chivi
Tame Impala,Deadbeat,1181,,jammer pick,Kevin Parker's latest album is his most dance-pop oriented yet! ,https://www.youtube.com/playlist?list=PLTU9Rfr3yfofsPvruInN1R-4SJaLraA1Z,11/6/2025,10/17/2025,Columbia
FONTINE,Good Buddy,1171,,"cancon,femcon",Indie folk-pop from Winnipeg – recommended,https://fontine.bandcamp.com/album/good-buddy,11/6/2025,10/7/2025,Birthday Cake
More Like Shadows,Vacation Mode,1148,,cancon,Fuzzy indie rock from Toronto – recommended,https://morelikeshadows.bandcamp.com/album/vacation-mode,11/6/2025,10/3/2025,
Nocow,TAY UT G NI,1151,,,Experimental electronica/futuristic pop from Russia ,https://fortrecords.bandcamp.com/album/tay-ut-g-ni,11/6/2025,10/3/2025,FORT
Pony Gold,High Road Reverie,1152,,"cancon,femcon",Soulful & polished alt-country from a Victoria-based singer-songwriter – recommended! ,https://ponygold.bandcamp.com/album/high-road-reverie,11/6/2025,10/3/2025,Penny Fiddle Records
Ribbon Skirt,PENSACOLA,1158,,"cancon,femcon",An excellent follow-up EP to their CJAM-charting album released back in April. Recommended! ,https://ribbonskirtband.bandcamp.com/album/pensacola,11/6/2025,10/3/2025,
Alice Moore,The Waiting,1166,,cancon,Indie alt pop from Montreal echoing influences from Lana Del Rey & Radiohead – recommended,https://alicemoore3.bandcamp.com/album/the-waiting,11/6/2025,10/3/2025,
Wes Corbett,Drift,1169,,,Top-notch instrumental bluegrass virtuosity – lots to enjoy on this one ,https://wescorbett.bandcamp.com/album/drift,11/6/2025,10/3/2025,
Abosahar,Raasny,1178,,,"Traditional Egyptian dance music recontextualized in a club setting drawing on industrial & new wave influences. Every track is an absolute banger, check this one out! ",https://heatcrimes.bandcamp.com/album/raasny,11/6/2025,10/3/2025,Heat Crimes
Agriculture,The Spiritual Sound,1179,,,"An experimentation on the concept of a black metal album, many songs on this album branch into stripepd down americana, shoegaze, & drone segments – a unique release! ",https://agriculturemusic.bandcamp.com/album/the-spiritual-sound,11/6/2025,10/3/2025,The Flenser
Verona Florrist,Verona Florrist,1170,,cancon,Heavy doom/stoner rock from Toronto,https://veronaflorrist1.bandcamp.com/album/verona-florrist,11/6/2025,10/1/2025,
crushed,no scope,1137,,femcon,"Excellent release drawing on inspiration from dream pop, shoegaze, and trip hop – recommended",https://crushedworldwide.bandcamp.com/album/no-scope,11/6/2025,9/26/2025,Ghostly International
Gabi Gamberg,Where the Earth Bends,1138,,femcon,"Acoustic-driven alt/indie rock fused with folk – influences from Elliott Smith, Beck, & Cat Power",https://gabigamberg.bandcamp.com/album/where-the-earth-bends,11/6/2025,9/26/2025,Concord Records
Geckøs,Geckøs,1140,,,"""the project blends the rich flavors of the Southwest with indie folk, Spanish influences, and a touch of Irish mysticism"" – recommended.",https://orgmusiclabel.bandcamp.com/album/geck-s?search_item_id%3D609866893%26search_item_type%3Da%26search_match_part%3D%253F%26search_page_id%3D4806076288%26search_page_no%3D0%26search_rank%3D1=,11/6/2025,9/26/2025,Geck√∏s
Mulatu Astatke,Mulatu Plays Mulatu,1146,,,"""the first major studio album in over 10 years from the father of Ethio-jazz"" – highly recommended!",https://mulatuastatke.bandcamp.com/album/mulatu-plays-mulatu,11/6/2025,9/26/2025,Strut
Moon Panda,Dumb Luck,1147,,femcon,Excellent spacey & groovy dream pop from San Diego – highly recommended,https://moonpanda.bandcamp.com/album/dumb-luck,11/6/2025,9/26/2025,
Night Tapes,portals//polarities,1149,,femcon,Lush dream pop/electronica from Estonia – highly recommended,https://nighttapesmusic.bandcamp.com/album/portals-polarities,11/6/2025,9/26/2025,Nettwerk
Terrifying Girls' High School,Sad Boys' Swimming Hole,1162,,cancon,Unique screamo/post-hardcore/dance-punk from Vancouver – recommended! ,https://tghs.bandcamp.com/album/sad-boys-swimming-hole,11/6/2025,9/26/2025,Emocat Records
Ani Glass,Phantasmagoria,1167,,femcon,Ambient-leaning electronic pop from the UK – recommended,https://aniglass.bandcamp.com/album/phantasmagoria-lp,11/6/2025,9/26/2025,
M. Sage,Tender / Wading,1173,,,"This one is right up my alley. Dynamic, texture-heavy, & ethereal ambient americana vibes",https://msage.bandcamp.com/album/tender-wading,11/6/2025,9/26/2025,
Jeff Tweedy,Twilight Override,1175,,,"Polished, soulful & stripped-down folk from the Wilco frontman – recommended ",https://jefftweedy.bandcamp.com/album/twilight-override,11/6/2025,9/26/2025,
Ancient Infinity Orchestra,It's Always About Love,1182,,,"15-piece spiritual jazz band from Leeds, England; beautiful, top notch arrangements",https://ancientinfinityorchestra.bandcamp.com/album/its-always-about-love,11/6/2025,9/26/2025,Gondwana Records
Hank's Dream,Running in Circles,1141,,cancon,Chill dream/synth pop from Montreal – love this one,https://hanksdream.bandcamp.com/album/running-in-circles,11/6/2025,9/25/2025,Deaf Shepherd Recordings
Shane Krause,I Measured The Skies,1157,,cancon,Avant jazz from Vancouver ,https://afterday.bandcamp.com/album/i-measured-the-skies,11/6/2025,9/22/2025,
Lawn,God Made The Highway,1145,,,Indie/post-punk from New Orleans – recommended,https://frontlawn.bandcamp.com/album/god-made-the-highway,11/6/2025,9/19/2025,Exploding in Sound Records
TEKE::TEKE,Hagata Delux,1161,,cancon,Japanese-Canadian psych/surf rock legends – highly recommended,https://teketekeband.bandcamp.com/album/hagata-delux-2,11/6/2025,9/19/2025,Kill Rock Stars
Pure Carrière,Vison 2 L'enfèr,1177,,"cancon,francophone",Hazy & loose folk/lo-fi rock with a good dose of experimentation & sound exploration. One of the most unique records in this genre I've heard in a while! ,https://purecarriere.bandcamp.com/album/vison-2-lenf-r,11/6/2025,9/19/2025,KOCH International
ANIMA!,Water,1183,,femcon,Electronic/synth pop – recommended! ,https://animaworldwide.bandcamp.com/album/water,11/6/2025,9/19/2025,
arid landscapes,arid landscapes,1184,,cancon,Ambient/electroacoustic arrangeemnts from Vancouver! ,https://aridlandscapes.bandcamp.com/album/arid-landscapes,11/6/2025,9/19/2025,
zayok,In elsewhere,1165,,,Bass-boosted futuristic cloud rap/r&b from South Carolina – unique release ,https://zayok.bandcamp.com/album/in-elsewhere,11/6/2025,9/17/2025,
Montuno Cubano,Frágil de Cristal,1174,,cancon,Traditional cuban music from Prince Edward Island! ,https://montunocubano.bandcamp.com/album/fr-gil-de-cristal,11/6/2025,9/16/2025,Ariola
time thief,time thief,1163,,femcon,"Jangly indie/college rock from Providence, Rhode Island",https://timethieff.bandcamp.com/album/time-thief,11/6/2025,9/12/2025,
Yoo II avec Nolan Potter,Yoo II avec Nolan Potter,1164,,,Fans of krautrock & psychedelic vibes will love this one! ,https://nolanpotter.bandcamp.com/album/yoo-ii-avec-nolan-potter,11/6/2025,9/12/2025,Mothland Records
Meredith Moon,From Here To The Sea,1176,,"cancon,femcon",Appalachian folk from Toronto – recommended! ,https://meredithmoon.bandcamp.com/album/from-here-to-the-sea,11/6/2025,9/12/2025,Compass Records
Area 3,View,1133,,cancon,Blissed out new age-y ambient layered with field recordings & dubby textures  from one of my favourite Canadian artists – highly recommended to those who want to relax ,https://heart.bandcamp.com/album/view,11/6/2025,9/5/2025,Khotin Industries
Ben Cornel,Evergreen,1135,,cancon,Lush indie folk from Yellowknife!,https://bencornelmusic.bandcamp.com/album/evergreen,11/6/2025,8/26/2025,
tarp,Automatic Solar Light,1160,,cancon,Grungy folk-rock from Winnipeg – recommended,https://tarpband.bandcamp.com/album/automatic-solar-light,11/6/2025,8/25/2025,Tape Loop Orchestra
accntnt,ep,1132,,cancon,"Lo-fi electronic bedroom pop/eletronica from Toronto drenched in ambient, dubby layers. ",https://accntnt.bandcamp.com/album/ep?search_item_id%3D2630340849%26search_item_type%3Da%26search_match_part%3D%253F%26search_page_id%3D4806052898%26search_page_no%3D0%26search_rank%3D1=,11/6/2025,8/22/2025,
Everett LaRoi,Morning Stars Mournings Hush,1144,,cancon,Edmonton folk rock,https://everettlaroi.bandcamp.com/album/morning-stars-mournings-hush?search_item_id%3D2742204620%26search_item_type%3Da%26search_match_part%3D%253F%26search_page_id%3D4806089961%26search_page_no%3D0%26search_rank%3D1=,11/6/2025,8/22/2025,
Andrew Spice,With Animals,1159,,cancon,Alt pop from Toronto ,https://andrewspice.bandcamp.com/album/with-animals,11/6/2025,8/22/2025,
Jolie Laide,In The Low Light,1142,,"cancon,femcon",Dream pop/folk from Calgary – nice production ,https://jolielaidemusic.bandcamp.com/album/in-the-low-light,11/6/2025,8/15/2025,
Ninajirachi,I Love My Computer,1150,,femcon,"Hyperpop from Sydney, Australia – highly recommended",https://ninajirachi.bandcamp.com/album/i-love-my-computer,11/6/2025,8/8/2025,NLV Records
Ravine Angel,Object of Affection,1154,,"cancon,femcon",Excellent experimental/noise pop influenced heavily by coldwave. Recommended! Alternate image used for this entry; original NSFW,https://ravineangel.bandcamp.com/album/object-of-affection,11/6/2025,8/1/2025,
Argile,Argile,1134,,"cancon,francophone","Dreamy, jazzy pop haze from Quebec City. Highly recommended to fans of Mac Demarco, Men I Trust, & similar",https://argilemusique.bandcamp.com/album/argile,11/6/2025,7/18/2025,Les √âditions Pontbriand
Slash Need,SIT & GRIN,1125,,jammer pick,Fans of industrial electronic & EBM will enjoy this one. Great recommendation by Pascal! ,https://slashneed.bandcamp.com/album/sit-grin,11/5/2025,10/21/2025,
feeo,Goodness,1126,,"femcon,jammer pick","An ""impressionistic assemblage of drone, ambient, experimental electronics, improvisational music and minimalist dance music"". Recommended! Cheers to Weajue for suggesting this one",https://feeo.bandcamp.com/album/goodness,11/5/2025,10/10/2025,AD 93
The Sound of Animals Fighting,The Maiden,1127,,jammer pick,"Psychedelic post-rock/post-hardcore from Dallas, Texas. Thanks for the recommendation, Weajue! ",https://thesoundofanimalsfighting.bandcamp.com/album/the-maiden,11/5/2025,9/12/2025,Born Losers Records
Liquid Mike,Hell is an Airport,1131,,jammer pick,Power pop/alt rock from Michigan! Recommended! Nice find by Dante from In the Garage :),https://liquidmike.bandcamp.com/album/hell-is-an-airport,11/5/2025,9/12/2025,
Chartreuse,Bless You & Be Well,1128,,"jammer pick,femcon","Warm, dreamy alt rock influenced by folk vibes. Suggested by Weajue of Absent Sounds! ",https://chartreuse-band.bandcamp.com/album/bless-you-be-well,11/5/2025,8/29/2025,Communion Group Ltd
BODEGA,Rot In Helvetica,1130,,jammer pick,Garage rock/punk from New York. Great stuff! Recommended by Dante ,https://bodegabk.bandcamp.com/album/rot-in-helvetica,11/5/2025,7/18/2025,Chrysalis
Huron Lines,Overthinker (single),1119,,"singles club,local,cancon",Excellent local band fusing grunge & post-punk ,https://huronlines.bandcamp.com/track/overthinker,10/31/2025,10/24/2025,
The Last Dinner Party,From The Pyre,1117,,"femcon,jammer pick",Indie rock with baroque pop aesthetics – recommended by Mr. T!,https://www.youtube.com/playlist?list=PLxA687tYuMWhomPXKLPBAzytlzLG9urHj,10/31/2025,10/17/2025,Island
Hollie Cook,Shy Girl,1100,,femcon,"Tropical pop/lovers rock/reggae from London, UK – recommended",https://holliecook.bandcamp.com/album/shy-girl,10/31/2025,10/10/2025,Mr Bongo
Kate Wyatt,Murmurations,1113,,"cancon,femcon",Jazz piano trio from Montreal ,https://katewyatt.bandcamp.com/album/murmurations,10/31/2025,10/10/2025,Shee Records
Jay Som,Belong,1115,,"femcon,jammer pick",Bedroom pop from LA. Recommended! Cheers to Mr. T,https://jaysom.bandcamp.com/album/belong,10/31/2025,10/10/2025,Polyvinyl
Flock of Dimes,The Life You Save,1116,,"femcon,jammer pick",Intimate acoustic-driven songs from a Baltimore artist. Thanks Mr. T for recommending this one! ,https://flockofdimes.bandcamp.com/album/the-life-you-save,10/31/2025,10/10/2025,Sub Pop Records
Pneumatic T Bar,pineapple (single),1122,,"singles club,local,cancon",Jazzy dream pop/prog rock – unique sound! ,https://open.spotify.com/track/7lpdweYALSlP9H6a6vqP28?si=5d97a7c994934eaf,10/31/2025,10/2/2025,
Varnish,Gold Ceiling (single),1124,,"singles club,local,cancon","Punk/art rock – shout out to Adam & Dave from Revolution Rock, this is thier band!",https://varnishyourhopes.bandcamp.com/track/gold-ceiling,10/31/2025,9/26/2025,
Alex Whorms,Daylight Chasing Dusk,1111,,"cancon,femcon","Folk/indie pop from Hamilton, ON",https://alexwhorms.bandcamp.com/album/daylight-chasing-dusk,10/31/2025,9/25/2025,
Yukon Blonde,Friendship & Rock 'N' Roll,1096,,cancon,Canadian indie pop/folk-rock legends – recommended,https://yukonblonde.bandcamp.com/album/friendship-rock-n-roll,10/31/2025,9/19/2025,Dine Alone Records
Atmosphere,Jestures,1098,,,Underground hip-hop from Minneapolis. Some tracks explicit! ,https://atmosphere.bandcamp.com/album/jestures,10/31/2025,9/19/2025,Rhymesayers Entertainment
James Danderfer,If Not Now,1101,,cancon,Top notch Canadian jazz; Cory Weeds on tenor sax & as producer,https://jamesdanderfer.bandcamp.com/album/if-not-now,10/31/2025,9/19/2025,Cellar Live
Dun-Dun Band,"Pita Parka, Pt. II: Nim Egduf",1102,,cancon,Fans of prog/spiritual jazz will enjoy – recommended! ,https://kunudusuvuntu.bandcamp.com/album/pita-parka-pt-ii-nim-egduf,10/31/2025,9/19/2025,
Jennarie,Never Been Small,1104,,"cancon,femcon",Toronto r&b!,https://jennarie.bandcamp.com/album/never-been-small,10/31/2025,9/19/2025,
Posh Toboggan,Not Love & Sunshine (single),1123,,"singles club,local,cancon",Prog rock/garage jazz from Windsor!,https://open.spotify.com/track/32ZH4bBAHj6AGfSzBDD9Vd?si=66130457ab884f3d,10/31/2025,9/19/2025,
Kayla Williams,POPSTALGIA,1094,,"cancon,femcon",Yacht rock/disco pop from Alberta ,https://kaylawilliamsmusic.bandcamp.com/album/popstalgia,10/31/2025,9/18/2025,
david tosh,dopameaning,1109,,cancon,Electropop from Toronto ,https://hiitsdavidtosh.bandcamp.com/album/dopameaning,10/31/2025,9/15/2025,Bicycle Records
Eric Alexander,Like Sugar,1097,,,Fans of the tenor sax will love this one! Great stuff. ,https://ericalexander.bandcamp.com/album/like-sugar,10/31/2025,9/12/2025,Island
Graeme Jonez,Crossways,1105,,"cancon,indigenous",Alt-folk rock from Toronto,https://graemejonezmusic.bandcamp.com/album/crossways,10/31/2025,9/12/2025,
Farron Keep,I'm thinkin' Jakey's (single),1118,,"singles club,local,cancon",Twinkly mathy emo/screamo from Windsor! Great sound. ,https://farronkeep.bandcamp.com/track/im-thinkin-jakeys,10/31/2025,9/11/2025,
Modern Life Is War,Life On The Moon,1106,,,Punk/hardcore from Iowa,https://modernlifeiswar.bandcamp.com/album/life-on-the-moon,10/31/2025,9/5/2025,Deathwish
John Tejada,The Watchline,1108,,,Atmospheric electronica from LA – recommended,https://johntejada.bandcamp.com/album/the-watchline,10/31/2025,9/5/2025,Palette Recordings
Musique Nomade,Nogom Nikamowin,1110,,"cancon,indigenous",Folk-pop from Montreal ,https://musiquenomade.bandcamp.com/album/nogom-nikamowin,10/31/2025,9/3/2025,G4F Records
Finnr's Cane,Finnr's Cane,1103,,cancon,Atmospheric black metal from Sudbury!,https://finnrs-cane.bandcamp.com/album/finnrs-cane,10/31/2025,8/29/2025,Nordvis Produktion
meandergreen,bilal crying ii (single),1121,,"singles club,local,cancon",Hazy & twinkly emo shoegaze vibes! ,https://meandergreen.bandcamp.com/track/bilal-crying-ii-2,10/31/2025,8/28/2025,
the winter in canada,untitled,1095,,cancon,"Garage/punk rock from Kingston, ON",https://thewinterincanada.bandcamp.com/album/untitled,10/31/2025,8/22/2025,The Death of Rave
Drones Over Dufferin,Grievous Landscapes,1107,,cancon,Ambient country/primitive guitar from Toronto – recommended! ,https://dronesoverdufferin.bandcamp.com/album/grievous-landscapes-2,10/31/2025,8/22/2025,Imaginary North
Bruce Ziff,Road to Ziffacre,1114,,cancon,"Traditional, old time music from Edmonton featuring banjos, fiddles, jaw harp, and more. ",https://bruceziff.bandcamp.com/album/road-to-ziffacre,10/31/2025,8/7/2025,Angular Recording Corporation
Winter Green,Songs For The Lonely,1112,,,"Bluesy acoustic & rock vibes from Manchester, UK ",https://wintergreen73.bandcamp.com/album/songs-for-the-lonely,10/31/2025,7/25/2025,Pretty Good Records
Sloan,Based on the Best Seller,1077,,cancon,College rock/power pop from Toronto – recommended,https://sloanmusic.bandcamp.com/album/based-on-the-best-seller,10/30/2025,9/26/2025,Yep Roc Records
Emily Yacina,Veilfall,1080,,femcon,"Warm dream pop vibes from Long Beach, California – recommended! ",https://emilyyacina.bandcamp.com/album/veilfall,10/30/2025,9/26/2025,
Creed of Greed,Judge and Jury,1088,,cancon,Calgary thrash/power metal,https://themetalobserver.bandcamp.com/album/judge-and-jury,10/30/2025,9/21/2025,
pôt-pot,Warsaw 480km,1075,,,Krautrock infused psych rock from Ireland – recommended,https://potpot.bandcamp.com/album/warsaw-480km,10/30/2025,9/19/2025,Felte
Benny Sings,Beat Tape III,1081,,,Indie soul pop jams from Amsterdam – highly recommended!,https://bennysings.bandcamp.com/album/beat-tape-iii,10/30/2025,9/19/2025,Stones Throw Records
crocus,Alive and Trembling,1082,,"cancon,femcon",Toronto doomgaze/shoegaze – recommended,https://crocus666.bandcamp.com/album/alive-and-trembling,10/30/2025,9/19/2025,
Funeral Lakes,Mountains Turned to Dust,1083,,cancon,"Dream pop/shoegaze from Kingston, ON  – recommended",https://funerallakes.bandcamp.com/album/mountains-turned-to-dust,10/30/2025,9/19/2025,
Scarlet Rae,No Heavy Goodbyes,1092,,femcon,Fuzzy emo/bedroom pop from New York – recommended,https://scarletrae.bandcamp.com/album/no-heavy-goodbyes,10/30/2025,9/19/2025,Bayonet Records
Joan Shelley,Real Warmth,1093,,femcon,,https://joanshelley.bandcamp.com/album/real-warmth,10/30/2025,9/19/2025,No Quarter Records
KaKaow,SWEAT,1084,,cancon,"Big room bass funk from Kingston, ON",https://kakaow.bandcamp.com/album/sweat,10/30/2025,9/12/2025,
Parcels,LOVED,1090,,femcon,Alt pop fusing disco & soul – recommended ,https://parcelsmusic.bandcamp.com/album/loved-1,10/30/2025,9/12/2025,Because Music
Peki Momés,Peki Momés,1091,,femcon,"Psychedelic, tropical Turkish jazz-funk from Germany – highly recommended",https://pekimomes.bandcamp.com/album/peki-mom-s,10/30/2025,9/12/2025,Mocambo
Tough Knit,Chatoyancy,1079,,"cancon,femcon",Lo-fi art folk/pop from Montreal – recommended,https://toughknit.bandcamp.com/album/chatoyancy,10/30/2025,9/9/2025,Digitalis Limited
Kasador,Kasador II,1085,,cancon,"Folk rock from Kingston, ON ",https://kasador.bandcamp.com/album/kasador-ii,10/30/2025,9/9/2025,
Scree,August,1076,,,Instrumental jazzy ballads from Brooklyn – recommended,https://screeband.bandcamp.com/album/august,10/30/2025,8/22/2025,Ruination Record Co.
Octoberman,Chutes,1087,,cancon,Toronto folk rock,https://octoberman.bandcamp.com/album/chutes,10/30/2025,8/13/2025,
Corey Matheson and Northumberland,Rid the Darkness,1086,,cancon,Country-rock from Nova Scotia,https://northumberland1.bandcamp.com/album/rid-the-darkness,10/30/2025,8/1/2025,Early Music
The Hello Crows,The Hello Crows,1065,,"cancon,femcon,indigenous",Folk rock from New Brunswick,https://thehellocrows.bandcamp.com/album/the-hello-crows,10/28/2025,9/30/2025,Amphetamine Reptile Records
Rich Brown,NYAEBA,1059,,cancon,Explorations & experiments into solo bass guitar jazz arrangements,https://richbrown-whirlwind.bandcamp.com/album/nyaeba,10/28/2025,9/26/2025,
Cate Le Bon,Michelangelo Dying,1060,,femcon,Art pop from the UK ,https://catelebon.bandcamp.com/album/michelangelo-dying,10/28/2025,9/26/2025,Mexican Summer
CHANCES,And Now You Become a Seeker,1061,,"cancon,femcon",Montreal pop ,https://chancesmusic.bandcamp.com/album/and-now-you-become-a-seeker,10/28/2025,9/26/2025,
porcelain horse,Porcelain Horse,1074,,cancon,"Shoegaze/dream pop from Victoria, BC – recommended! ",https://porcelainhorsemusic.bandcamp.com/album/porcelain-horse,10/28/2025,9/26/2025,Portrayal of Guilt Records
Ashbreather,La Grande Bouffe,1058,,cancon,Sludgy prog metal from Montreal ,https://ashbreather.bandcamp.com/album/la-grande-bouffe,10/28/2025,9/19/2025,
Jules Encore,Poti le pothos,1062,,"cancon,francophone",Jangly dream pop from Montreal – recommended,https://julesencore.bandcamp.com/album/poti-le-pothos,10/28/2025,9/19/2025,
L'Antidote,L'Antidote,1067,,,"Jazz trio from Paris exploring sounds from Lebanon, Albania, & Iran. Recommended",https://lantidote.bandcamp.com/album/lantidote,10/28/2025,9/19/2025,Ponderosa Music Records
Lauren Mann,Heaven,1069,,"cancon,femcon","Folk pop from Pender Island, BC",https://laurenmannmusic.bandcamp.com/album/heaven,10/28/2025,9/19/2025,
Saku Mantere,Divine Apology,1070,,cancon,Vocal jazz from Montreal – recommended! ,https://sakumantere.bandcamp.com/album/divine-apology,10/28/2025,9/19/2025,
múm,History of Silence,1071,,femcon,Experimental orchestral pop arrangements from Iceland ,https://mumband.bandcamp.com/album/history-of-silence,10/28/2025,9/19/2025,Morr Music
Pompey,I'm Scared,1073,,cancon,Warm DIY/bedroom folk vibes from Montreal – recommended! ,https://thepompey.bandcamp.com/album/im-scared,10/28/2025,9/15/2025,Wiiija Records
fleshwater,2000: In Search Of The Endless Sky,1064,,femcon,Shoegaze/post-hardcore from Massachusetts – recommended,https://fleshwater.bandcamp.com/album/2000-in-search-of-the-endless-sky,10/28/2025,9/5/2025,Closed Casket Activities
Lapelúda,entre cielo y tierra,1068,,"cancon,femcon",Indie folk with latinx influences from Montreal – recommended! ,https://lapeluda.bandcamp.com/album/entre-cielo-y-tierra-3,10/28/2025,9/2/2025,
Endlings,PARALLEL 03,1063,,cancon,This one's a treat for fans of sound art & sound collage – abstract & textured organic arrangements ,https://endlings1.bandcamp.com/album/parallel-03-w-vnm,10/28/2025,8/22/2025,Lightning Feet
Humour,Learning Greek,1066,,,"Alt rock/post-hardcore from Glasgow, UK – recommended",https://humour1.bandcamp.com/album/learning-greek,10/28/2025,8/8/2025,So Young Records
they are gutting a body of water,LOTTO,1052,,,"Fuzzy, hazy shoegaze from Philadelphia – recommended",https://theyareguttingabodyofwater.bandcamp.com/album/lotto,10/24/2025,10/17/2025,
Jared Popma,When It Rains,1043,,cancon,Soft jazzy pop from BC featuring a string quartet ,https://jaredpopma.bandcamp.com/album/when-it-rains,10/24/2025,10/11/2025,Ghost Music
