ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
Cautious Clay,The Hours: Night,5005,funk/soul/r&b,,Top notch r&b/pop from New York – dreamy nighttime vibes,https://cautiousclay.bandcamp.com/album/the-hours-night,11/26/2025,10/24/2025,Fantasy
Just Mustard,WE WERE JUST HERE,1011,indie/rock/alt,femcon,"A refreshing take on that dreamy shoegaze/post-rock/punk sound from Dundalk, Ireland – recommended! ",https://justmustard.bandcamp.com/album/we-were-just-here,11/26/2025,10/24/2025,Partisan Records
Hannah Jadagu,Describe,1012,indie/rock/alt,femcon,Indie/alt pop from New York ,https://hannahjadagu.bandcamp.com/album/describe,11/26/2025,10/24/2025,Sub Pop Records
Spiritual Cramp,RUDE,1013,indie/rock/alt,,Garage rock from San Francisco with influences from punk & dub – recommended! ,https://spiritualcramp.bandcamp.com/album/rude,11/26/2025,10/24/2025,Blue Grape Music
Sadie Jean,Early Twenties Torture,1017,indie/rock/alt,femcon,"Catchy, warm folk-pop – recommended",https://open.spotify.com/album/6HNDL6my8XFprSf8KRwaf8,11/26/2025,10/24/2025,
Yazmin Lacey,Teal Dreams,5008,funk/soul/r&b,"jammer pick,femcon","Jazzy r&b from London, UK – fans of Erykah Badu & Lauryn Hill will love it! Recommended. ",https://yazminlacey.bandcamp.com/album/teal-dreams,11/26/2025,10/24/2025,AMF Records
Huron Lines,Overthinker (EP),6006,loud,jammer pick,Enjoy the full release of one of the featured Windsor bands on last month's Singles Club! Great grungy/post-hardcore sound,https://huronlines.bandcamp.com/album/overthinker,11/26/2025,10/24/2025,
Antibalas,Hourglass,8004,jazz,jammer pick,"Fans of groovy, tropical, psychedelic Afro-jazz will love this one – highly recommended ",https://antibalas.bandcamp.com/album/hourglass,11/26/2025,10/24/2025,Daptone Records
Bahamas,My Second Last Album,1028,indie/rock/alt,"jammer pick,cancon",Silky-smooth adult contemporary/AOR/soft rock – recommended! ,https://open.spotify.com/album/1lNhmIl6F1c3G7svc0n2SG?si=q04CSkUiRk2HTafdMlIe5A,11/26/2025,10/24/2025,Brushfire Records
Alice Phoebe Lou,Oblivion,2002,folk/blues,femcon,"Soft, polished, & stripped-down acoustic songs from Berlin, Germany – recommended",https://alicephoebelou.bandcamp.com/album/oblivion,11/26/2025,10/23/2025,
Cosmic Kitten,Cosmic Kitten,6004,loud,femcon,Punk/grunge from LA – recommended! ,https://cosmickitten.bandcamp.com/album/cosmic-kitten,11/26/2025,10/17/2025,Elektra
Linda From Work,Linda From Work,1003,indie/rock/alt,femcon,rock & roll/garage rock from Seattle – recommended,https://lindafromwork.bandcamp.com/album/linda-from-work-2,11/26/2025,10/17/2025,
Carlos Dafe and Adrian Younge,Carlos Dafé JID025,8001,jazz,,"For fans of Adrian Younge/Jazz is Dead stuff, this one is another latin-jazz gem ",https://carlosdafe.bandcamp.com/album/carlos-daf-jid025,11/26/2025,10/17/2025,Jazz Is Dead
Militarie Gun,God Save The Gun,1016,indie/rock/alt,,LA alt rock,https://militariegun.bandcamp.com/album/god-save-the-gun,11/26/2025,10/17/2025,Loma Vista Recordings
Bird Streets,The Escape Artist,1018,indie/rock/alt,,"Fans of 90s/2000s indie (The Shins, Death Cab For Cutie, Radiohead, etc.) will love this one!",https://birdstreets.bandcamp.com/album/the-escape-artist,11/26/2025,10/17/2025,
bar italia,Some Like It Hot,1019,indie/rock/alt,,"London, UK art rock – recommended! ",https://baritalia.bandcamp.com/album/some-like-it-hot,11/26/2025,10/17/2025,Matador
Sudan Archives,THE BPM,3004,electronic,"jammer pick,femcon",Club-oriented pop from LA – recommended! ,https://sudanarchives.bandcamp.com/album/the-bpm,11/26/2025,10/17/2025,Stones Throw Records
"JazzZ, Eye Traveler",Lapis Lazuli,5009,funk/soul/r&b,"jammer pick,femcon","Loose/abstract hip-hop beats fused with a neo-soul feel from Lagos, Nigeria – recommended! ",https://whobejazzz.bandcamp.com/album/lapis-lazuli,11/26/2025,10/17/2025,Old Soul Music
BEL,Holy Grail,1025,indie/rock/alt,femcon,LA indie pop – recommended! ,https://bel-makes-music.bandcamp.com/album/holy-grail,11/26/2025,10/17/2025,Nettwerk Music Group
Broken Sound,DOS,1005,indie/rock/alt,,Alternative rock from LA ,https://brokensound.bandcamp.com/album/dos,11/26/2025,10/10/2025,Rediscus
Niia,V,8002,jazz,femcon,Fantastic soulful vocal jazz tracks – reminds me a lot of Charlotte Day Wilson's collaborations with BBNG! ,https://niia.bandcamp.com/album/v,11/26/2025,10/10/2025,Candid
Melt,Not For Radio,1015,indie/rock/alt,femcon,Ethereal dream pop/bedroom pop – recommended! ,https://open.spotify.com/album/4Arf0rqtYsnJ5hhscuqCLB,11/26/2025,10/10/2025,
False Flowers,FALSE FLOWERS,1004,indie/rock/alt,femcon,"Goth rock from Sacramento, California – excellent mini-LP",https://falseflowers.bandcamp.com/album/false-flowers-s-t-mini-lp,11/26/2025,10/3/2025,Plus 8 Records Ltd.
Say She She,Cut & Rewind,1022,indie/rock/alt,"jammer pick,femcon",Soulful disco funk from Brooklyn – reminds me a lot of CHIC. Highly recommended! ,https://saysheshe.bandcamp.com/album/cut-rewind,11/26/2025,10/3/2025,drink sum wtr
dodie,Not For Lack Of Trying,2005,folk/blues,"jammer pick,femcon",Polished bedroom pop/folk pop from England ,https://open.spotify.com/album/6ogKuILl7vFFCahzxHvFOi,11/26/2025,10/3/2025,Decca Records
Snooper,Worldwide,6005,loud,"jammer pick,femcon",Garage/post-punk from Nashville – recommended! ,https://snooper7.bandcamp.com/album/worldwide,11/26/2025,10/3/2025,Third Man Records
The Crooked Stuff,Darkphased EP,3001,electronic,,Catchy industrial electronic vibes ,https://www.youtube.com/watch?v=PJX_4HaNgXM,11/26/2025,9/19/2025,
The Valery Trails,Winter Palace,1002,indie/rock/alt,,Jangly indie pop/shoegaze from Australia – recommended,https://thevalerytrails.bandcamp.com/album/winter-palace,11/26/2025,8/29/2025,
The Lightning Kids,Love On The Edge Of Desire,1239,,femcon,"""Nostalgic Modern pop music for people who love endless Summer nights, teenage dreams and love-drenched Americana soundtracks.""",https://thelightningkids.bandcamp.com/album/love-on-the-edge-of-desire,11/20/2025,11/21/2025,Aztec Records
